name,short_name,minimum_attendees,maximum_attendees,advance_booking_under_days,location,images
วีกิจ วีรานุวัตติ์,วีกิจ,100,200,366,ตึกอัษฏางค์ ชั้น 4,"[""image_room/vegig.gif""]"
จงจินต์ รุจิรวงศ์,จงจินต์,50,100,366,ตึกธนาคารไทยพาณิชย์  ชั้น 1,"[""image_room/jongjin.gif""]"
ตั้งภรณ์พรรณ,ตั้งภรณ์พรรณ,10,60,366,ตึกอัษฏางค์ ชั้น 3,"[""image_room/tangpongpan.jpg""]"
จิตต์ ตู้จินดา,จิตต์ ,3,25,366,ตึกอัษฏางค์ ชั้น 4,"[""image_room/jit.jpg""]"
ประเสริฐ กังสดาลย์ 1 (PK1),ประเสริฐ (PK1),3,25,366,ตึกธนาคารไทยพาณิชย์  ชั้น 2,"[""image_room/pk1.jpg""]"
ประเสริฐ กังสดาลย์ 2 (PK2),ประเสริฐ (PK2),3,25,366,ตึกธนาคารไทยพาณิชย์  ชั้น 2,"[""image_room/pk2.jpg""]"
ประเสริฐ กังสดาลย์ 3 (PK3),ประเสริฐ (PK3),3,25,366,ตึกธนาคารไทยพาณิชย์  ชั้น 2,"[""image_room/pk3.jpg""]"
ประเสริฐ กังสดาลย์ 4 (PK4),ประเสริฐ (PK4),3,25,366,ตึกธนาคารไทยพาณิชย์  ชั้น 2,"[""image_room/pk4.jpg""]"
ประเสริฐ กังสดาลย์ 5 (PK5),ประเสริฐ (PK5),3,25,366,ตึกธนาคารไทยพาณิชย์  ชั้น 2,"[""image_room/pk5.jpg""]"
ประพาฬ ยงใจยุทธ,ประพาฬ ,3,25,366,ตึกอัษฏางค์ ชั้น 4,"[""image_room/images1.jpg""]"
ศฤงคไพบูลย์ 1,ศฤง 1,10,40,366,ตึกอัษฏางค์ ชั้น 4,"[""image_room/images1.jpg""]"
ศฤงคไพบูลย์ 2,ศฤง 2,10,40,366,ตึกอัษฏางค์ ชั้น 4,"[""image_room/images1.jpg""]"
ศฤงคไพบูลย์ 1+2,ศฤง 1+2,30,70,366,ตึกอัษฏางค์ ชั้น 4,"[""image_room/images1.jpg""]"
ศฤงคไพบูลย์ 1+2+ประพาฬ,ศฤง 1+2+ประพาฬ,40,80,366,ตึกอัษฏางค์ ชั้น 4,"[""image_room/images1.jpg""]"
ศฤงคไพบูลย์ 2+ประพาฬ,ศฤง 2+ประพาฬ,30,50,366,ตึกอัษฏางค์ ชั้น 4,"[""image_room/images1.jpg""]"
นวมินทรบพิตรฯ ชั้น 26 (150 ที่นั่ง),นวมินทรบพิตรฯ ชั้น 26,100,200,366,อาคารนวมินทรบพิตร ๘๔ พรรษา ชั้น 26,"[""image_room/navamin26.jpg""]"
Test Medicine,Test Med,50,60,366,ตึกอัษฎางค์ ชั้น 5,"""1"""
Test Medicine 2,Test Med 2,50,60,366,ตึกอัษฎางค์ ชั้น 3,"""1"""